SÅ SKULLE DE HA MEG TIL Å GJØRE DET PÅ MINE PÅ MINE KRIGERE PÅ MITT FOLK PÅ MINE KONGER RUNDT OM DE SKULLE GJØRE DET IGJEN FOR JEG FIKK IKKE HU,EKKE JEG SOM VILLE HA HU HU VILLE HA MEG OG DET VIL HU FREMDELES JA SÅ DET ER HUN SOM ØDELEGGER LIVET MIYT FREMDELES JA DET ER DET JA,	dialectal
@olavelg @TrollkrittIda Om noen vet hvor på Torshov de har Tamarind Paste, si fra så jeg også kan bære med å leke.	bokmål
@aerbeka Hærregud æ e lei av att all snakke om korr god Bodø/glimt e!   Slutt å ronk derre feskeran	dialectal
@GFX_Fizz @kvetix @Nullityegt Det har eg lagt merke til, men selv og du forklare ein 05 eller yngre at de e rare så klare de ikkje å forstå at de faktisk e rare og bare starta å shittalka tebake	dialectal
Jeg har ikke ville ha dere siden jeg sommeren 86 sa dette er jeg ikke med på,jeg sa dere er ikke morsomme,jeg sa dette er ingen lek,dere har fått beskjed 15ganger om å ligge unna meg	bokmål
@politiagder Historien vil dømme dere, og når en fremtidig regjering går ut med en offisiell unnskyldning for det svineriet dere har stelt i stand, så sitter dere på gamlehjemmet og skammer dere inn til beinet over det nyhetsinnslaget.	bokmål
@kiheger Eg skal bidra med 700 kroner i ekstra etter heving av frikortgrensa	nynorsk
@esgya 🇳🇴Efter krigen har ikke skolene gjort noe annet enn å fornye seg og dem blir aldrig ferdige for nå skal dem ha nye landsmenn med seg.Fine framtidsutsikter for landet?	dialectal
@Robert_Haug @PetterSateroy mest usannsynlige med denna videoen e hentydninga til at d e gangavstand mellom NÅN steda i Nord-Norge, smh. also, det e den dårligste etterligninga av nordnorsk æ har hørt i mitt LIV, så skjønne godt dokker stræve når detta e utgangspunktet dokkers xD	dialectal
@amund_jensvoll @CoolbetNorge E ska oversetta:
«E ser itte på kampen så det ska e itte uttale me om»	dialectal
@YTReZess Eg e ikke fult overtrøtt, men e kjenne e kjæm me dit. Dør jo a latter a dæ dærr💀	dialectal
Moro med kjelder: Eller kanskje ikkje så moro, eigentleg. Ganske nådelaust med kjelder. (Men ikkje heilt):
6. mai 1724. Kari Erlingsdotter bur på det tyske fattighuset i Bergen, der ho har tittelen "rådsfrue". Men ho er upopulær. Kranglete. Kjeftar og smeller. Utakknemlig.	nynorsk
@jorgensundt @GeirSt0rli @jennydb91 Fordi dei går der heile året. Om vinteren kjem vi som helst vil ha ski under skoa og tek over løypene deira. Da tenker eg vi skal vera litt rause.	nynorsk
Kjempebra at dere setter fokus på PCOS og hvordan det påvirker både idrettsutøvere og oss vanlige, men språket dere har brukt er dessverre ikke inkluderende @NRKno 

https://t.co/uVrZQZJPt2	bokmål
Skandalen her er ikke hva ambassadøren sier, men kostnadene ved å leie et stort privatfly med mannskap og politifolk for å frakte ut 6 personer.

Likevel mye billigere enn å la dem bli i Norge. https://t.co/AVgwtVJVdF	bokmål
@verditrades Nei jeg synes egentlig ikke det. De brukte "underlying" i fjor fordi de mente det ga et bedre bilde på resultatet. Da bør de ha med den sammenligningn nå i år også, ikke bare det "vanlige" i fjor som viser god utvikling	bokmål
@bjornva Ja. Jeg tenkte på det, de går ut ganske bredt. Og jeg mener jeg har det i meg å bli en habil spion fremdeles. Jeg angrer så sykt på at jeg ikke skjønte dette da jeg var 20.	bokmål
@L_Kronoz Men dem har jo sushi på La barra også, og dem har åpent til … seinere enn seks/syv, i hvert fall. (Dog ikke sikker på om sushien e god.)	dialectal
Kva for nokre finn-søk får du varslar for? Eg har eit som heiter "dreiebenk" (i tillegg til det som er obligatorisk for alle som bur i indre by: "småbruk").	nynorsk
Thank you so much @_TheAntiChris , this was just lovely to get in the mail! ❤❤ æ e helt enig, æ å håpe på at ting bli bra snart, å at vi får treftest igjen, æ savne dæ utroli my, kjærlig hilsen Joli Wann Julobi https://t.co/AwZbhW0MiF	mixed
@Torfinnjohansen @SV_Karin @GjermundR Att huseiera  ska verra med på å sples. 
I motsetning til Astrup, om att de ska øke sitt overskudd.
Jaja.	dialectal
@Andersghagen Dere har vel tatt steg siden 80-tallet. Pappa påstår å ha slått "dere" med Blindheim den gangen...	bokmål
Eg skal undervise i norsk ei lita stund framover, og me skal ha nynorsk. Eg føler eg treng å øve på nynorsk, så eg trur eg skal prøve å skrive nynorsk framover.

Rett gjerne om eg har noken feil! 😅🙈	nynorsk
@Fredagsvik @jenscer Umedviten er frikjenning. Ho hadde preparatet i kroppen, så ho måtte i karantene. Eg ser ingen motiv. Ho er best. EPO kan skjulast enkelt, men ikkje klostebol. Kvifor klostebol og ikkje EPO? Motivet manglar.	nynorsk
Sann historie fra da en representant for Eides lastebilnæring for første gang var i det store utland. 

«I ska ha ei pøsj mæ brød»
«Är det korv ni menar?»
«Ja, he du ei korg å ha de ti så e det greitt det».	mixed
De tar feil, hvis noen mener at de har begått en uærlig krigsforbrytelse, drapet på folket vårt, vil de gå av med n… https://t.co/4Jy3rkEPMR	bokmål
@okejbecca Hu har logga inn på ene, og driver og preiker om å logge inn på to til. Bytt pw asap	dialectal
@litelin Poenget er ikke at nordmenn vil, men de bruker estlendere, polakker og engelskmenn på korttidskontrakter, uten feriepengekrav og uten rett til fast arbeid, fordi de går via utenlandske selskaper for innlegg av arbeidstakere 

Sosial Dumping Satt I System	bokmål
Eg:
God morgon, vyrde landhandlar! Syner du meg rette leia til den velassorterte pultostdisken dykkar, takk :)

Landhandlaren:
Altså vi har ingen eigen pultostdisk idag heller, men pultosten står der du brukar finne han, ved--

Eg:
IKKJE ØYDELEGG  M A G I E N  LANDHANDLAR!!	nynorsk
@MartinWilhelmse Skal de ha tilfeldig ransaking av folks bagasje i tilfelle det er en kniv pakket ned der? https://t.co/TrP1eMCkT0	bokmål
Eg e den einaste som kom i klassen i dag 😍🙌 #steinerskolen #vibes #bitcoin	dialectal
@Majmarie_ 😳 Har sett di, sammen med de skrikende grønne... Stadig flere, overalt. Skjønner at di é praktiske, men...	dialectal
@FredLegend @kariekas Han ble ikke formuende før han fyllte 18 år. Og formueøkningen har vel vært jevnt stigende uansett regjering. Kapitalen bryr seg knapt om politiske føringer, de går sine egne veier, alltid.	bokmål
@kaisvarte Går ikke tyrkere i skog og mark? 😂
Kor i helsikkens er det eg går i då?😂	dialectal
Krem 🤭 etter dere har hørt dere gjennom episodene til @ChrisVonheim selvfølgelig 😉😃	bokmål
"De går blant oss, men norsk snakker de ikke"
Et lite øyeblikk hørtes det skummelt ut med vampyrer i gatene, men det var #norskspråkråd som snakka om arbeidsinnvandrere #dax18	bokmål
@Du_er_digg DA E GRUNNEN TE AT EG PLEIE Å SJP SERIE PÅ TLF MEN DA E MASSE BEDRE PÅ CHROMEN SÅ LENGE EG E ALEINA HEIMA ELLE SÅ HØRE MAMMA BARE MASSE MOANING FRA PCEN MIN FOR ØREPLUGGANE PASSE IKKJE INNI OG DEN FUNKE IKKJE MED AIRPODSO EKKJE MIN FEIL ROBBE OG SANDER PULE HEILA TIO	dialectal
@10mill10ar Omtrent einaste guilty pleasure eg har, utanom jålepils. Men sidan stort sett alt er stengt, så.. 🤷	nynorsk
@RRKile1 @reisir Utan at eg har fasiten, så trur eg vi snakkar forskjellig kjærleik: 
På gresk (meiner eg å hugse) har du to ord for kjærleik: agape og eros - nestekjærleik og platonsk/erotisk kjærleik. 

Caritate er nestekjærlighet (jf hjelpeorganisasjonen Caritas) medan amoris er synonymt eros.	nynorsk
@kjetilhope Dem e ikke det sjø.
Ha du ikke gjennomskua det her spillet.
Det e for å verra i forkant, styr dagsorden og pryd framsidan.
Man begrave sine blemma og held media i aktivitet.
Det e reine skjære babblet, men det held oss å engasjert i det.	dialectal
@jegerlilla Sitron og ingefær drakk æ ofte før da æ va plaga med kvalme, nu e æ blitt så glad i smaken at æ drikk d… https://t.co/uOz3dqhuZg	dialectal
@ArneJJohnsen @awahloe Kan skje, men tror at hvis de har en erstatter klar, så ryker Solskjær. Klubben er såpass skakkjørt at ingenting vil overraske.	bokmål
@mikkelickski Forskere: det er alt for mye plast i havet, vi må bruke mindre engangaplast.

Mikkrllickski: fuck detta eg ska hiva mer plast i naturen nå	mixed
@HellBrendy Sånn sett er det bra at de går med uniform på jobb, sånn at man vet hvem man skal unngå resten av året.	bokmål
Endeleg! Eg har brukt heile pandemien på dette. No kan de fiksa den vaksinen. https://t.co/JI1C0wIJFv	nynorsk
@halvblodsprins Marit, Æ E RETT HER! Du kan komme og snakke med meg anytime😜

Skal sies at det går en stund mellom hver gang jeg også hører ordentlig trøndersk, litt synd egentlig.	mixed
@CheGiaevara Hvis bruno blir skada, e det bare for United å la vær og still lag. De e jo totalt blotta for kreativitet og trøkk uten han. Solskjær må jo be til alle gudan som finnes for at han hold sæ skadefri😂🙌🏼	dialectal
@smehustoft @KetilThorvalds1 Det høres ut som grunn god nok, spør du mæ! Og æ har tatt ganske mange fag kor foreleseren e den eneste på pensum fordi hen e det eneste som har skrevet om feltet (urfolksakademia, woohoo!), men æ tror ikke det e sant om … verdenshistorien 😬	dialectal
@HangelandTV2 @TV2JHBorslid dere har vel du lagt merke til Kanes ‘smarte’ måte å gå inn i dueller på? Ingen setter spørsmål ved fotballferdigheitene til spissen, men dette ein trend. Utsetter motspelarar for fare! Ikkje smart. https://t.co/dLVE3pVrq3	bokmål
@MorganArnesen Betyr at eg kjenner seksuell tiltrekning til de eg har en sterkere emosjonell attraksjon til, uansett kjønn!	dialectal
Coop sin strategi er mindre plastemballasje. Av ein eller anna grunn gjelder visst ikkje det for egg, siden dei går frå papp til plast? #coop https://t.co/ko3dYsbEau	dialectal
@SteinarBL Er dette å tolke som et partsinnlegg? Hemsedal Venstre ønsker seg flere innbyggere, og dere har valgt dere ut disse ti som hurtigvalg?	bokmål
@ben_reth @MartinWilhelmse @martegerhardsen Dem har jo tross alt en leder som støtter oppunder korrupsjon.	dialectal
Så skamløs som æ e, så hente æ frem det kunstverket her igjen https://t.co/lv9RWXkWL8	dialectal
@skrue_onkel Alle må bli rike over natten😅 så de går for de som koster lite😂	bokmål
Dere ha ydmyket meg i 37år dere det har dere gjort,for jeg var ikke i kirka å reddet sjeler fra hælvete ja	bokmål
@RuneBjoernsen @sjakhaaheim @UiTromso @bladetnordlys Jeg synes alldeles ikke at et sivilt samfunn har behov for påminnelse om at voldsmonopolisten står klar, at de er beredt til enhver tid. Slikt er intimiderende på den sivile befolkningen.

Men skjønner jo at folk i forsvaret ønsker sånt. De har ofte søkt seg dit av en grunn.	bokmål
@Colaboks @Vin7lfc8 Hær er du veldig på ball, det virker nesten mot sin hensikt det de bedriver.
Eg e langt til venstre politisk men kjenner at dette handler om sunn fornuft.	dialectal
@kakrist I morgen, i morgen.
